r,F1 Score
0.5,0.05492877699999998
1.0,0.3397061699999999
1.5,0.6497902800000002
2.0,0.7167438500000003
2.5,0.7148880299999999
3.0,0.6960012399999996
3.5,0.6589685899999997
4.0,0.60270771
4.5,0.5382220699999999
5.0,0.5013317199999998
5.5,0.47735758000000017
6.0,0.45680465000000003
6.5,0.4340286899999997
7.0,0.4190100099999999
7.5,0.4119701799999999
8.0,0.4105909599999999
8.5,0.4083467399999999
9.0,0.40111184
9.5,0.3843632000000002
10.0,0.35224998
10.5,0.30925562999999995
11.0,0.2667242300000001
11.5,0.22538291999999996
12.0,0.18562272000000007
12.5,0.14693461999999996
13.0,0.10886315900000001
13.5,0.07767853200000001
14.0,0.06158804200000004
14.5,0.05683631999999998
15.0,0.054672797999999995
15.5,0.05444382899999997
16.0,0.05426822899999999
16.5,0.05415943099999998
17.0,0.05409879499999998
17.5,0.05403886499999997
18.0,0.054003730999999985
18.5,0.05396984499999999
19.0,0.053952959999999967
19.5,0.05394037499999998
20.0,0.05393375899999995
20.5,0.05392914899999995
21.0,0.05392914899999995
21.5,0.05392914899999995
22.0,0.05392914899999995
22.5,0.05392914899999995
23.0,0.05392914899999995
23.5,0.05392914899999995
24.0,0.05392914899999995
24.5,0.05392914899999995
25.0,0.05392914899999995
25.5,0.05392914899999995
26.0,0.05392914899999995
26.5,0.05392914899999995
27.0,0.05392914899999995
27.5,0.05392914899999995
28.0,0.05392914899999995
28.5,0.05392914899999995
29.0,0.05392914899999995
29.5,0.05392914899999995
30.0,0.05392914899999995
